School Name,Level,Program Strand,Grades
Birch Grove Elementary School for the Arts,Preschool,Arts,PK-5
Fridley Preschool,Preschool,IB,PK
Rogers Elementary STEM Magnet School,Elementary,STEM,K-4
R.L. Stevenson Elementary School - An IB World School,Elementary,IB,K-4
Tatanka Elementary STEM School,Elementary,STEM,K-5
University Avenue ACES,Elementary,STEM,K-5
Weaver Lake Elementary,Elementary,STEM,K-5
Zanewood Community School: STEAM,Elementary,STEAM,K-5
Brooklyn Center Elementary STEAM School,Elementary,STEAM,K-5
Hayes Elementary School - An IB World School,Elementary,IB,K-4
Evergreen Park STEM School of Innovation,Elementary,STEM,K-5
Montrose Elementary School of Innovation,Elementary,STEAM,K-5
Rockford Elementary Arts Magnet School,Elementary,Arts,K-4
Anoka Middle School for the Arts,Middle School,Arts,6-8
Brooklyn Center STEAM Middle School,Middle School,STEAM,6-8
Brooklyn Middle STEAM Magnet School,Middle School,STEAM,6-8
Fridley Middle School - An IB World School,Middle School,IB,5-8
Rockford Middle School - Center for Environmental Studies,Middle School,STEM,5-8
Salk Middle School Pre-Engineering STEM Magnet,Middle School,STEM,6-8
"Anoka High School Center for Science, Technology, Engineering, Arts and Math",High School,STEAM,9-12
"Blaine High School Center for Engineering, Mathematics & Science",High School,STEM,9-12
Brooklyn Center STEAM High School,High School,STEAM,9-12
Coon Rapids High School Center for Biomedical Sciences & Engineering,High School,STEM,9-12
Fridley High School - An IB World School,High School,IB,9-12
Osseo Senior High Health Science Magnet Program,High School,STEM,9-12
Park Center Senior High - An IB World School,High School,IB,9-12
Rockford High School - An IB World School,High School,IB,9-12
