Category,Details
Name,Rogers Elementary STEM Magnet School
Type,Public Magnet School
Location,"Rogers, Minnesota, USA"
Address,"12521 Main St, Rogers, MN 55374"
Phone,(763) 241-3462
Website,https://res.isd728.org/
Grades Served,Kindergarten through 5th Grade
Enrollment,Approximately 627 students
Student-Teacher Ratio,17:1
School Hours,"Monday to Friday, 8:15 AM - 4:00 PM"
Special Programs,"Focus on Science, Technology, Engineering, and Mathematics (STEM) education"
District,Elk River Independent School District 728
Ranking,Ranked #215 among Minnesota Elementary Schools by U.S. News & World Report
